*author: AAD
*reference: ARXIV:XXXX : 2016
*reference: CERN-EP-2016-153 : 2016
*reference: GIVE JOURNAL CITATION (IF KNOWN) : 2016
*reference: http:// : 2016
*doi: GIVE DOI
*status: Encoded 22 JUNE 2016 by ALICE
*experiment: CERN-LHC-ALICE
*detector: ALICE
*inspireId: GIVE INSPIRE ID
*cdsId: GIVE CDS ID
*durhamId: 
*title: Multiplicity-dependent enhancement of strange and multi-strange hadron production in proton-proton collisions at $\sqrt{s}=7$ TeV
*comment: CERN-LHC. The yields of strange and multi-strange hadrons are measured at midrapidity in proton-proton (pp) collisions at $\sqrt{s}$ = 7 TeV as a function of the charged-particle multiplicity density ($dN_{ch}/d\eta$). The production rate of strange particles increases faster than that of non-strange hadrons, leading to an enhancement of strange particles relative to pions, similar to that found in nucleus-nucleus collisions as well as in proton-nucleus collisions at the LHC. This is the first observation of an enhanced production of strange particles in high-multiplicity pp collisions. The magnitude of this strangeness enhancement increases with the event activity, quantified by $dN_{ch}/d\eta$, and with hadron strangeness. It reaches almost a factor of two for the $\Omega$ at the highest multiplicity presented. No enhancement is observed for particles with no strange quark content, demonstrating that the observed effect is strangeness rather than mass related. The results are not reproduced by any of the Monte Carlo models commonly used at the LHC, suggesting that further developments are needed for a complete microscopic understanding of strangeness production and indicating the presence of a phenomenon novel in high-multiplicity pp collisions.


*dataset:
*location: Figure 1
*dscomment: $K^{0}_{S}$ transverse momentum spectrum: V0M Class I (pp at $\sqrt{s}=7$ TeV)
*obskey: $p_{T}$-differential yields measured in $|y|<0.5$ for a selection of event classes (see Table 1)
*qual: Multiplicity : V0M Class I
*qual: RE : P P --> $K^{0}_{S}$ + X
*qual: SQRT(S) IN GEV : 7000.0
*qual: YRAP(CM) : -0.5 0.5
*yheader: $\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$
*xheader: $p_{T}$ (GeV/c)
*data: x : y
 0.05 (BIN=0 TO 0.1); 0.2349 +- 0.02708 (DSYS=0.01346:total,DSYS=0.00628:uncorr);
 0.15 (BIN=0.1 TO 0.2); 0.6653 +- 0.01412 (DSYS=0.03386:total,DSYS=0.01604:uncorr);
 0.25 (BIN=0.2 TO 0.3); 0.967 +- 0.0136 (DSYS=0.04643:total,DSYS=0.02224:uncorr);
 0.35 (BIN=0.3 TO 0.4); 1.119 +- 0.01314 (DSYS=0.05472:total,DSYS=0.02619:uncorr);
 0.45 (BIN=0.4 TO 0.5); 1.164 +- 0.01179 (DSYS=0.05734:total,DSYS=0.02736:uncorr);
 0.55 (BIN=0.5 TO 0.6); 1.159 +- 0.01033 (DSYS=0.05738:total,DSYS=0.02629:uncorr);
 0.65 (BIN=0.6 TO 0.7); 1.045 +- 0.008752 (DSYS=0.05204:total,DSYS=0.02383:uncorr);
 0.75 (BIN=0.7 TO 0.8); 0.9546 +- 0.00758 (DSYS=0.04821:total,DSYS=0.02203:uncorr);
 0.85 (BIN=0.8 TO 0.9); 0.8315 +- 0.006576 (DSYS=0.04301:total,DSYS=0.01959:uncorr);
 0.95 (BIN=0.9 TO 1); 0.7168 +- 0.005794 (DSYS=0.03713:total,DSYS=0.0169:uncorr);
 1.05 (BIN=1 TO 1.1); 0.6281 +- 0.0052 (DSYS=0.03279:total,DSYS=0.01454:uncorr);
 1.15 (BIN=1.1 TO 1.2); 0.5361 +- 0.004644 (DSYS=0.02819:total,DSYS=0.01248:uncorr);
 1.25 (BIN=1.2 TO 1.3); 0.4515 +- 0.004199 (DSYS=0.02415:total,DSYS=0.01068:uncorr);
 1.35 (BIN=1.3 TO 1.4); 0.3969 +- 0.003889 (DSYS=0.0216:total,DSYS=0.009509:uncorr);
 1.45 (BIN=1.4 TO 1.5); 0.3318 +- 0.003514 (DSYS=0.01796:total,DSYS=0.007917:uncorr);
 1.55 (BIN=1.5 TO 1.6); 0.2937 +- 0.003276 (DSYS=0.01608:total,DSYS=0.007095:uncorr);
 1.65 (BIN=1.6 TO 1.7); 0.2483 +- 0.002984 (DSYS=0.01378:total,DSYS=0.006045:uncorr);
